2,Superstar Racing Experience,baseline
Steering Wheel Angle,Yaw Rate
212.014175,1.913061
211.025421,1.904402
210.009140,1.907486
209.020386,1.907250
208.004135,1.906343
207.015366,1.904272
206.026566,1.901041
205.010300,1.895891
204.021530,1.888874
203.005295,1.878831
202.016510,1.869655
201.000275,1.859844
200.011475,1.850527
199.022705,1.841047
198.006454,1.831217
197.017670,1.819748
196.001419,1.804934
195.012619,1.789134
194.023849,1.773243
193.007599,1.766469
192.018814,1.757500
191.002563,1.748249
190.013794,1.745218
189.024994,1.741828
188.008728,1.731870
187.019974,1.722349
186.003708,1.708241
185.014938,1.703432
184.026154,1.692948
183.009888,1.684243
182.021133,1.674456
181.004852,1.665492
180.016098,1.655817
178.999817,1.647116
178.011047,1.638997
177.022247,1.628671
176.005981,1.617491
175.017227,1.609406
174.000961,1.601389
173.012192,1.592630
172.023392,1.583095
171.007111,1.574140
170.018356,1.565134
169.002075,1.555854
168.013321,1.546739
167.024506,1.537296
166.008270,1.528216
165.019485,1.517011
164.003220,1.509728
163.014450,1.500745
162.025650,1.490111
161.009415,1.482894
160.020615,1.472027
159.004333,1.462751
158.015564,1.453181
157.026764,1.444871
156.010544,1.436288
155.021729,1.427646
154.005478,1.417878
153.016708,1.408113
152.000443,1.400264
151.011673,1.390664
150.022858,1.380564
149.006622,1.370718
148.017822,1.362807
147.001556,1.354769
146.012772,1.344781
145.023972,1.335977
144.007736,1.324538
143.018936,1.316802
142.002655,1.307160
141.013901,1.298584
140.025085,1.289163
139.008850,1.279478
138.020050,1.270954
137.003769,1.262483
136.014999,1.252012
135.026199,1.243469
134.009964,1.234816
133.021164,1.224896
132.004913,1.215711
131.016113,1.206386
130.027283,1.198386
129.011078,1.187389
128.022263,1.178210
127.006020,1.170547
126.017204,1.159199
125.000938,1.150138
124.012169,1.141996
123.023369,1.133437
122.007118,1.125367
121.018311,1.114584
120.002029,1.104165
119.013283,1.096861
118.024460,1.087671
117.008224,1.077783
116.019402,1.070326
115.003166,1.058212
114.014351,1.048899
113.025566,1.040814
112.009323,1.030685
111.020508,1.021390
110.004265,1.013783
109.015457,1.005164
108.026642,0.995183
107.010399,0.984523
106.021584,0.975362
105.005371,0.966792
104.016556,0.956975
103.027771,0.948197
102.011497,0.939319
101.022690,0.930716
100.006439,0.921070
99.017632,0.911120
98.001389,0.903780
97.012573,0.893187
96.023758,0.883712
95.007515,0.874818
94.018700,0.865778
93.002457,0.856681
92.013649,0.848011
91.024887,0.839602
90.008591,0.827929
89.019775,0.819929
88.003563,0.811574
87.014717,0.801321
86.025963,0.792498
85.009674,0.782713
84.020859,0.773382
83.004631,0.764553
82.015800,0.754310
81.027039,0.745272
80.010742,0.736947
79.021935,0.728492
78.005684,0.717430
77.016876,0.709996
76.000633,0.700565
75.011818,0.689840
74.023056,0.680860
73.006760,0.673025
72.017944,0.663822
71.001701,0.652488
70.012894,0.643590
69.024109,0.636547
68.007835,0.626487
67.018997,0.615798
66.002754,0.608274
65.013939,0.599214
64.025177,0.587825
63.008881,0.580923
62.020069,0.570231
61.003826,0.560411
60.015011,0.553153
59.026226,0.543593
58.009926,0.533508
57.021172,0.523352
56.004875,0.514621
55.016060,0.507042
54.027275,0.495296
53.011005,0.488468
52.022217,0.477916
51.005924,0.468233
50.017109,0.459581
49.000866,0.449845
48.012054,0.441746
47.023270,0.432411
46.006969,0.422403
45.018211,0.412375
44.001915,0.404626
43.013073,0.394245
42.024315,0.390711
41.008018,0.386636
40.019230,0.380602
39.002964,0.389906
38.014122,0.382543
37.025364,0.370520
36.009068,0.361890
35.020279,0.353910
34.003983,0.343940
33.015167,0.333857
32.026382,0.324882
31.010088,0.315632
30.021326,0.307213
29.005032,0.297790
28.016247,0.287398
27.027433,0.278982
26.011137,0.270278
25.022348,0.259245
24.006052,0.250383
23.017294,0.242823
22.000998,0.232408
21.012157,0.222458
20.023371,0.213642
19.007101,0.204708
18.018314,0.195200
17.002018,0.186703
16.013233,0.176984
15.024419,0.167910
14.008123,0.158052
13.019336,0.148713
12.003040,0.138727
11.014254,0.129844
10.025441,0.120981
9.009144,0.112796
8.020358,0.102367
7.004062,0.092563
6.015275,0.084837
5.026462,0.075269
4.010166,0.064382
3.021353,0.055692
2.005083,0.046976
1.016323,0.038267
0.000000,0.027366
-0.988760,0.018186
-1.977626,0.009841
-2.993896,0.001100
-3.982709,0.008739
-4.998979,0.019275
-5.987792,0.028054
-6.976604,0.037360
-7.992875,0.046573
-8.981688,0.055129
-9.997957,0.065127
-10.986771,0.073719
-11.975583,0.082492
-12.991853,0.092797
-13.980665,0.101915
-14.996989,0.112377
-15.985749,0.119790
-16.974613,0.129059
-17.990831,0.139973
-18.979698,0.148868
-19.995966,0.157387
-20.984779,0.166711
-21.973593,0.177029
-22.989862,0.186313
-23.978676,0.194655
-24.994999,0.203769
-25.983759,0.213122
-27.000082,0.222752
-27.988842,0.232502
-28.977654,0.241419
-29.993923,0.251455
-30.982737,0.260004
-31.999060,0.269783
-32.987873,0.279866
-33.976685,0.288274
-34.992954,0.297459
-35.981770,0.307738
-36.998093,0.317251
-37.986855,0.325701
-38.975719,0.334907
-39.991932,0.344292
-40.980801,0.353126
-41.997017,0.362308
-42.985882,0.372008
-43.974697,0.382319
-44.990967,0.390520
-45.979778,0.399273
-46.996048,0.409414
-47.984913,0.418469
-48.973728,0.427919
-49.989998,0.437287
-50.978813,0.446757
-51.995083,0.456770
-52.983894,0.464938
-54.000217,0.474322
-54.989029,0.483917
-55.977844,0.493809
-56.994110,0.503592
-57.982929,0.513100
-58.999199,0.521145
-59.988010,0.530261
-60.976871,0.540256
-61.993145,0.549440
-62.981956,0.558472
-63.998226,0.569209
-64.987038,0.577201
-65.975906,0.586652
-66.992180,0.597555
-67.980995,0.605560
-68.997253,0.614559
-69.986069,0.624152
-70.974884,0.633485
-71.991211,0.642991
-72.980019,0.651763
-73.996292,0.661824
-74.985161,0.671574
-75.973915,0.680104
-76.990234,0.690418
-77.979050,0.700361
-78.995323,0.708956
-79.984192,0.717751
-81.000404,0.727452
-81.989273,0.736762
-82.978142,0.746397
-83.994354,0.755710
-84.983215,0.765000
-85.999489,0.774697
-86.988304,0.783447
-87.977112,0.793247
-88.993439,0.802074
-89.982254,0.812062
-90.998520,0.821601
-91.987381,0.830009
-92.976151,0.840414
-93.992470,0.849661
-94.981339,0.858545
-95.997551,0.869425
-96.986420,0.876833
-97.975182,0.886202
-98.991501,0.896178
-99.980316,0.905887
-100.996635,0.914917
-101.985451,0.924310
-103.001717,0.935271
-103.990585,0.943597
-104.979347,0.952415
-105.995674,0.961800
-106.984535,0.971188
-108.000801,0.981338
-108.989616,0.992272
-109.978432,1.000183
-110.994759,1.008865
-111.983620,1.017882
-112.999840,1.028036
-113.988701,1.037666
-114.977516,1.046758
-115.993790,1.056163
-116.982597,1.065998
-117.998917,1.076902
-118.987793,1.083666
-119.976540,1.093641
-120.992874,1.103858
-121.981682,1.112371
-122.998009,1.122398
-123.986816,1.131568
-124.975624,1.141105
-125.991959,1.150354
-126.980713,1.159603
-127.997040,1.169367
-128.985855,1.179689
-130.002182,1.188720
-130.991043,1.197069
-131.979797,1.206560
-132.996124,1.215991
-133.984924,1.225715
-135.001266,1.235946
-135.990128,1.246442
-136.978897,1.254127
-137.995209,1.264011
-138.984009,1.273111
-140.000351,1.282210
-140.989212,1.291991
-141.977966,1.301411
-142.994293,1.312104
-143.983093,1.320804
-144.999435,1.329689
-145.988190,1.339631
-146.977051,1.348836
-147.993378,1.358718
-148.982193,1.367441
-149.998520,1.376667
-150.987274,1.386183
-151.976135,1.395664
-152.992462,1.405115
-153.981277,1.414287
-154.997604,1.424818
-155.986404,1.434465
-157.002731,1.443200
-157.991592,1.453046
-158.980362,1.461845
