2,Toyota GR86,baseline
Steering Wheel Angle,Yaw Rate
396.996216,3.130212
396.007446,3.123344
395.018738,3.115690
394.002472,3.107674
393.013733,3.100219
391.997498,3.092555
391.008759,3.085314
390.020020,3.078119
389.003754,3.071018
388.015015,3.076825
386.998810,3.069236
386.010040,3.062709
384.993805,3.056321
384.005035,3.050268
383.016296,3.044245
382.000092,3.038244
381.011322,3.032492
379.995087,3.026551
379.006317,3.020806
378.017578,3.012720
377.001373,2.997342
376.012604,2.991462
374.996338,2.984759
374.007629,2.978291
373.018890,2.972889
372.002625,2.918941
371.013855,2.931298
369.997650,2.913268
369.008911,2.913354
368.020142,2.897545
367.003906,2.886016
366.015137,2.891791
364.998932,2.895755
364.010193,2.877697
363.021423,2.865030
362.005157,2.902213
361.016418,2.898949
360.000214,2.847927
359.011444,2.825374
357.995178,2.820976
357.006439,2.810636
356.017670,2.801715
355.001465,2.790075
354.012695,2.775923
352.996490,2.781949
352.007721,2.770755
351.018951,2.764498
350.002716,2.749031
349.013947,2.755427
347.997711,2.739393
347.008942,2.729678
346.020203,2.722810
345.003998,2.712902
344.015228,2.708154
342.998962,2.694766
342.010223,2.701490
341.021454,2.691733
340.005219,2.673390
339.016449,2.695385
338.000214,2.702829
337.011475,2.674909
336.022736,2.667899
335.006500,2.659204
334.017700,2.656721
333.001465,2.635937
332.012726,2.646236
330.996490,2.627860
330.007721,2.609831
329.018951,2.618199
328.002747,2.604552
327.013977,2.590757
325.997711,2.583015
325.008972,2.576274
324.020203,2.575961
323.003998,2.556750
322.015228,2.565164
320.998962,2.541977
320.010193,2.547331
319.021454,2.531893
318.005219,2.525755
317.016479,2.533472
316.000183,2.510296
315.011414,2.515319
314.022675,2.507757
313.006470,2.488629
312.017700,2.480222
311.001404,2.484245
310.012665,2.476367
309.023926,2.462684
308.007690,2.451296
307.018921,2.452733
306.002686,2.445074
305.013916,2.435756
303.997681,2.410274
303.008911,2.412246
302.020142,2.409323
301.003906,2.404170
300.015137,2.386743
298.998901,2.387155
298.010132,2.373910
297.021332,2.358294
296.005127,2.360133
295.016357,2.364990
294.000153,2.344808
293.011322,2.332498
292.022583,2.332379
291.006378,2.330777
290.017578,2.320662
289.001343,2.303319
288.012573,2.294512
287.023834,2.293103
286.007568,2.277562
285.018768,2.267294
284.002563,2.266388
283.013824,2.240838
281.997528,2.247406
281.008789,2.229975
280.020020,2.246857
279.003784,2.248318
278.014984,2.235767
276.998779,2.218599
276.010010,2.215121
275.021179,2.204372
274.005005,2.209575
273.016235,2.181905
271.999969,2.175501
271.011169,2.174052
270.022430,2.158103
269.006195,2.180209
268.017395,2.147798
267.001190,2.146256
266.012421,2.126557
265.023651,2.136348
264.007385,2.110439
263.018616,2.118094
262.002350,2.100487
261.013611,2.096472
260.024841,2.092140
259.008575,2.109578
258.019806,2.127785
257.003571,2.109159
256.014801,2.069994
254.998566,2.071368
254.009781,2.063244
253.021011,2.089686
252.004791,2.044515
251.015961,2.085958
249.999741,2.069701
249.010956,2.051931
248.022217,2.046960
247.005966,2.042096
246.017166,2.040916
245.000916,2.035615
244.012177,2.031968
243.023422,2.027240
242.007141,2.023473
241.018341,2.015823
240.002121,2.003217
239.013351,2.001467
238.024597,1.994130
237.008316,1.987750
236.019547,1.986799
235.003296,1.980117
234.014542,1.971378
233.025772,1.965554
232.009491,1.955661
231.020752,1.947243
230.004471,1.938665
229.015686,1.929697
227.999451,1.920341
227.010681,1.913022
226.021896,1.903904
225.005646,1.896221
224.016876,1.887272
223.000626,1.877873
222.011841,1.871086
221.023071,1.860839
220.006836,1.852368
219.018051,1.845334
218.001816,1.834581
217.013016,1.827151
216.024261,1.819376
215.007996,1.808930
214.019226,1.801609
213.002960,1.793765
212.014175,1.783055
211.025421,1.776907
210.009140,1.767098
209.020386,1.757807
208.004135,1.751144
207.015366,1.740218
206.026566,1.733611
205.010300,1.724097
204.021530,1.715405
203.005295,1.707854
202.016510,1.697972
201.000275,1.690166
200.011475,1.682561
199.022705,1.672254
198.006454,1.664324
197.017670,1.656977
196.001419,1.646302
195.012619,1.638515
194.023849,1.631809
193.007599,1.620964
192.018814,1.612345
191.002563,1.604924
190.013794,1.597222
189.024994,1.586953
188.008728,1.578373
187.019974,1.571683
186.003708,1.562447
185.014938,1.552438
184.026154,1.545392
183.009888,1.537625
182.021133,1.527074
181.004852,1.519174
180.016098,1.512213
178.999817,1.501925
178.011047,1.493082
177.022247,1.486429
176.005981,1.477541
175.017227,1.467481
174.000961,1.460892
173.012192,1.451809
