2,Toyota Supra Class B,centripetal
Steering Wheel Angle,Yaw Rate
430.009583,2.875276
428.993378,2.868002
428.004639,2.871023
427.015869,2.780973
425.999664,2.803181
425.010895,2.799574
423.994690,2.798125
423.005920,2.796962
422.017181,2.817583
421.000977,2.798659
420.012207,2.795323
418.996002,2.790151
418.007233,2.784642
417.018494,2.779164
416.002289,2.773363
415.013519,2.767821
413.997314,2.800531
413.008545,2.815216
412.019775,2.815685
411.003571,2.810389
410.014801,2.804020
408.998596,2.795431
408.009827,2.784599
406.993622,2.767769
406.004883,2.739254
405.016113,2.732989
403.999908,2.725737
403.011139,2.718536
401.994934,2.717016
401.006165,2.716760
400.017426,2.716427
399.001190,2.711974
398.012421,2.705599
396.996216,2.698372
396.007446,2.688162
395.018738,2.677219
394.002472,2.670399
393.013733,2.667615
391.997498,2.659019
391.008759,2.653034
390.020020,2.646111
389.003754,2.638892
388.015015,2.631567
386.998810,2.623833
386.010040,2.617639
384.993805,2.611624
384.005035,2.604716
383.016296,2.597776
382.000092,2.590798
381.011322,2.583220
379.995087,2.576579
379.006317,2.568946
378.017578,2.563139
377.001373,2.555816
376.012604,2.549088
374.996338,2.541866
374.007629,2.535159
373.018890,2.526940
372.002625,2.521883
371.013855,2.513003
369.997650,2.508221
369.008911,2.500823
368.020142,2.494434
367.003906,2.486586
366.015137,2.480395
364.998932,2.472080
364.010193,2.466997
363.021423,2.457535
362.005157,2.453286
361.016418,2.446674
360.000214,2.438639
359.011444,2.432441
357.995178,2.423405
357.006439,2.417552
356.017670,2.412974
355.001465,2.405548
354.012695,2.398279
352.996490,2.391325
352.007721,2.384960
351.018951,2.376449
350.002716,2.370192
349.013947,2.363910
347.997711,2.355933
347.008942,2.350092
346.020203,2.342359
345.003998,2.336754
344.015228,2.329206
342.998962,2.321990
342.010223,2.314725
341.021454,2.309369
340.005219,2.302159
339.016449,2.295122
338.000214,2.287971
337.011475,2.281531
336.022736,2.274688
335.006500,2.268060
334.017700,2.260777
333.001465,2.254257
332.012726,2.248031
330.996490,2.239976
330.007721,2.233493
329.018951,2.227556
328.002747,2.219661
327.013977,2.213962
325.997711,2.207045
325.008972,2.199204
324.020203,2.192529
323.003998,2.187116
322.015228,2.178684
320.998962,2.173173
320.010193,2.166283
319.021454,2.159353
318.005219,2.151318
317.016479,2.146560
316.000183,2.136690
315.011414,2.133091
314.022675,2.125887
313.006470,2.119178
312.017700,2.111322
311.001404,2.104785
310.012665,2.098814
309.023926,2.091848
308.007690,2.084892
307.018921,2.078827
306.002686,2.070430
305.013916,2.064889
303.997681,2.055431
303.008911,2.051342
302.020142,2.044042
301.003906,2.037122
300.015137,2.030235
298.998901,2.022547
298.010132,2.016945
297.021332,2.010380
296.005127,2.003645
295.016357,1.996061
294.000153,1.990058
293.011322,1.983079
292.022583,1.976423
291.006378,1.968678
290.017578,1.962133
289.001343,1.956759
288.012573,1.949545
287.023834,1.943065
286.007568,1.936061
285.018768,1.929377
284.002563,1.922444
283.013824,1.915804
281.997528,1.908555
281.008789,1.902482
280.020020,1.895886
279.003784,1.889013
278.014984,1.882307
276.998779,1.875458
276.010010,1.868927
275.021179,1.862234
274.005005,1.855689
273.016235,1.848527
271.999969,1.841861
271.011169,1.834580
270.022430,1.828769
269.006195,1.822183
268.017395,1.814683
267.001190,1.808409
266.012421,1.800329
265.023651,1.795477
264.007385,1.788368
263.018616,1.781257
262.002350,1.774569
261.013611,1.765775
260.024841,1.761760
259.008575,1.754870
258.019806,1.747463
257.003571,1.740847
256.014801,1.734250
254.998566,1.727140
254.009781,1.720661
253.021011,1.714368
252.004791,1.707500
251.015961,1.701346
249.999741,1.693239
249.010956,1.687864
248.022217,1.679089
247.005966,1.673920
246.017166,1.667726
245.000916,1.660598
244.012177,1.654216
243.023422,1.647016
242.007141,1.640478
241.018341,1.634107
240.002121,1.626150
239.013351,1.620746
238.024597,1.612856
237.008316,1.606910
236.019547,1.600152
235.003296,1.593696
234.014542,1.586144
233.025772,1.579753
232.009491,1.573582
231.020752,1.566859
230.004471,1.560232
229.015686,1.551812
227.999451,1.547661
227.010681,1.540493
226.021896,1.534028
225.005646,1.527109
224.016876,1.520061
223.000626,1.512128
222.011841,1.507784
221.023071,1.500373
220.006836,1.493377
219.018051,1.486763
218.001816,1.480544
217.013016,1.472758
216.024261,1.466901
215.007996,1.459836
214.019226,1.453319
213.002960,1.446581
212.014175,1.439908
211.025421,1.433416
210.009140,1.426725
209.020386,1.419065
208.004135,1.413524
207.015366,1.406335
206.026566,1.399736
205.010300,1.392309
204.021530,1.387163
203.005295,1.380092
202.016510,1.372311
201.000275,1.367302
200.011475,1.359477
199.022705,1.354080
198.006454,1.346606
197.017670,1.340111
196.001419,1.333732
195.012619,1.326609
194.023849,1.320246
193.007599,1.313331
192.018814,1.305937
191.002563,1.299339
190.013794,1.293784
189.024994,1.286667
188.008728,1.280298
187.019974,1.273409
186.003708,1.266489
185.014938,1.261000
184.026154,1.254016
183.009888,1.246479
182.021133,1.240432
181.004852,1.233671
180.016098,1.227603
178.999817,1.220602
178.011047,1.213869
177.022247,1.207981
176.005981,1.200155
175.017227,1.193328
174.000961,1.187065
173.012192,1.180243
172.023392,1.174287
171.007111,1.166811
170.018356,1.160600
169.002075,1.153682
168.013321,1.147935
167.024506,1.140176
166.008270,1.135245
165.019485,1.127274
164.003220,1.120338
163.014450,1.115547
162.025650,1.107440
161.009415,1.101818
160.020615,1.095069
159.004333,1.087548
158.015564,1.081261
157.026764,1.073870
156.010544,1.068259
155.021729,1.061343
154.005478,1.054547
153.016708,1.048775
152.000443,1.042067
151.011673,1.034712
150.022858,1.027801
149.006622,1.022404
148.017822,1.014671
147.001556,1.008291
146.012772,1.001953
145.023972,0.995163
144.007736,0.988643
143.018936,0.982289
142.002655,0.974922
141.013901,0.968494
140.025085,0.963037
139.008850,0.955212
138.020050,0.949309
137.003769,0.942083
136.014999,0.934750
135.026199,0.928904
134.009964,0.923272
133.021164,0.915586
132.004913,0.908486
131.016113,0.903549
130.027283,0.896719
129.011078,0.888715
128.022263,0.883882
127.006020,0.875242
126.017204,0.869130
125.000938,0.863966
124.012169,0.856673
123.023369,0.849293
122.007118,0.844084
121.018311,0.835970
120.002029,0.829442
119.013283,0.824748
118.024460,0.816731
117.008224,0.810386
116.019402,0.803864
115.003166,0.796391
114.014351,0.791387
113.025566,0.783542
112.009323,0.777258
111.020508,0.771239
110.004265,0.764840
109.015457,0.757997
108.026642,0.750597
107.010399,0.743962
106.021584,0.737965
105.005371,0.731435
104.016556,0.724536
103.027771,0.718263
102.011497,0.710768
101.022690,0.705372
100.006439,0.699258
99.017632,0.690751
98.001389,0.684241
97.012573,0.678457
96.023758,0.671899
95.007515,0.665486
94.018700,0.659327
93.002457,0.652710
92.013649,0.645954
91.024887,0.639590
90.008591,0.632992
89.019775,0.626079
88.003563,0.619135
87.014717,0.613622
86.025963,0.606065
85.009674,0.598618
84.020859,0.592676
83.004631,0.586832
82.015800,0.580733
81.027039,0.572637
80.010742,0.566136
79.021935,0.559944
78.005684,0.552833
77.016876,0.547990
76.000633,0.540238
75.011818,0.533350
74.023056,0.527410
73.006760,0.520897
72.017944,0.514021
71.001701,0.507908
70.012894,0.500785
69.024109,0.493486
68.007835,0.487577
67.018997,0.481218
66.002754,0.474534
65.013939,0.467205
64.025177,0.461181
63.008881,0.454738
62.020069,0.448566
61.003826,0.441408
60.015011,0.434186
59.026226,0.428372
58.009926,0.421976
57.021172,0.416028
56.004875,0.409650
55.016060,0.402928
54.027275,0.396412
53.011005,0.388138
52.022217,0.382031
51.005924,0.376861
50.017109,0.369565
49.000866,0.362353
48.012054,0.356327
47.023270,0.349342
46.006969,0.342479
45.018211,0.337066
44.001915,0.330394
43.013073,0.322807
42.024315,0.317857
41.008018,0.309981
40.019230,0.303185
39.002964,0.297637
38.014122,0.290445
37.025364,0.284467
36.009068,0.276923
35.020279,0.270367
34.003983,0.264518
33.015167,0.257293
32.026382,0.250968
31.010088,0.243467
30.021326,0.237264
29.005032,0.231497
28.016247,0.224804
27.027433,0.218183
26.011137,0.212011
25.022348,0.212011
24.006052,0.214144
23.017294,0.217811
22.000998,0.209515
21.012157,0.203064
20.023371,0.197259
19.007101,0.189769
18.018314,0.183997
17.002018,0.176322
16.013233,0.169527
15.024419,0.163739
14.008123,0.157940
13.019336,0.150181
12.003040,0.144127
11.014254,0.138016
10.025441,0.130830
9.009144,0.123407
8.020358,0.116899
7.004062,0.110879
6.015275,0.104943
5.026462,0.097686
4.010166,0.091689
3.021353,0.083944
2.005083,0.077816
1.016323,0.072024
0.000000,0.064593
-0.988760,0.057570
-1.977626,0.051421
-2.993896,0.045467
-3.982709,0.038821
-4.998979,0.032139
-5.987792,0.025842
-6.976604,0.019344
-7.992875,0.012078
-8.981688,0.004845
-9.997957,0.002348
-10.986771,0.007941
-11.975583,0.014475
-12.991853,0.021245
-13.980665,0.027402
-14.996989,0.033623
-15.985749,0.040928
-16.974613,0.046922
-17.990831,0.053965
-18.979698,0.060135
-19.995966,0.067840
-20.984779,0.073750
-21.973593,0.079841
-22.989862,0.086827
-23.978676,0.093213
-24.994999,0.099875
-25.983759,0.106369
-27.000082,0.113754
-27.988842,0.119938
-28.977654,0.126752
-29.993923,0.133007
-30.982737,0.139862
-31.999060,0.146156
-32.987873,0.153818
-33.976685,0.159543
-34.992954,0.165550
-35.981770,0.172714
-36.998093,0.180055
-37.986855,0.186264
-38.975719,0.192470
-39.991932,0.198877
-40.980801,0.205214
-41.997017,0.212700
-42.985882,0.219988
-43.974697,0.225849
-44.990967,0.231712
-45.979778,0.239213
-46.996048,0.246204
-47.984913,0.251768
-48.973728,0.258097
-49.989998,0.265221
-50.978813,0.272097
-51.995083,0.278031
-52.983894,0.285101
-54.000217,0.292099
-54.989029,0.298394
-55.977844,0.305915
-56.994110,0.312189
-57.982929,0.318140
-58.999199,0.324874
-59.988010,0.331423
-60.976871,0.338838
-61.993145,0.344748
-62.981956,0.351230
-63.998226,0.358313
-64.987038,0.364480
-65.975906,0.371195
-66.992180,0.378917
-67.980995,0.384577
-68.997253,0.391135
-69.986069,0.398070
-70.974884,0.404966
-71.991211,0.411808
-72.980019,0.418303
-73.996292,0.425326
-74.985161,0.430846
-75.973915,0.438541
-76.990234,0.444438
-77.979050,0.451670
-78.995323,0.458515
-79.984192,0.464020
-81.000404,0.472039
-81.989273,0.478425
-82.978142,0.485782
-83.994354,0.491764
-84.983215,0.497533
-85.999489,0.504047
-86.988304,0.511154
-87.977112,0.517571
-88.993439,0.524393
-89.982254,0.531649
-90.998520,0.538592
-91.987381,0.545222
-92.976151,0.551917
-93.992470,0.558278
-94.981339,0.564892
-95.997551,0.572450
-96.986420,0.578399
-97.975182,0.584911
-98.991501,0.592004
-99.980316,0.598128
-100.996635,0.604269
-101.985451,0.611656
-103.001717,0.619061
-103.990585,0.624180
-104.979347,0.630871
-105.995674,0.638515
-106.984535,0.644842
-108.000801,0.651640
-108.989616,0.659175
-109.978432,0.664561
-110.994759,0.672423
-111.983620,0.678395
-112.999840,0.684582
-113.988701,0.691525
-114.977516,0.697938
-115.993790,0.705625
-116.982597,0.712894
-117.998917,0.718454
-118.987793,0.725022
-119.976540,0.733116
-120.992874,0.739824
-121.981682,0.745375
-122.998009,0.752113
-123.986816,0.759448
-124.975624,0.764693
-125.991959,0.772307
-126.980713,0.779495
-127.997040,0.785644
-128.985855,0.793231
-130.002182,0.798714
-130.991043,0.805487
-131.979797,0.812689
-132.996124,0.819627
-133.984924,0.826319
-135.001266,0.833101
-135.990128,0.839786
-136.978897,0.846453
-137.995209,0.853508
-138.984009,0.859818
-140.000351,0.866874
-140.989212,0.873742
-141.977966,0.880724
-142.994293,0.886541
-143.983093,0.893058
-144.999435,0.900688
-145.988190,0.906489
-146.977051,0.913278
-147.993378,0.920037
-148.982193,0.927433
-149.998520,0.934348
-150.987274,0.941377
-151.976135,0.946679
-152.992462,0.954763
-153.981277,0.960399
-154.997604,0.967503
-155.986404,0.975438
-157.002731,0.980499
-157.991592,0.988178
-158.980362,0.995175
-159.996674,1.001218
-160.985504,1.008606
-162.001816,1.014599
-162.990631,1.022119
-163.979446,1.028440
-164.995819,1.035529
-165.984589,1.043337
-167.000900,1.049010
-167.989716,1.055994
-168.978577,1.061768
-169.994904,1.069417
-170.983719,1.076708
-172.000046,1.082214
-172.988800,1.089225
-173.977661,1.095703
-174.993927,1.103185
-175.982803,1.109992
-176.999130,1.117095
-177.987946,1.123760
-178.976807,1.129951
-179.993011,1.137326
-180.981888,1.143880
-181.998260,1.150955
-182.987030,1.157120
-184.003342,1.164502
-184.992157,1.170557
-185.981033,1.177234
-186.997345,1.184585
-187.986160,1.192008
-189.002487,1.198680
-189.991287,1.205447
-190.980164,1.211321
-191.996368,1.219639
-192.985306,1.225399
-194.001617,1.233239
-194.990387,1.239247
-195.979248,1.246244
-196.995514,1.254097
-197.984390,1.259054
-199.000702,1.267299
-199.989532,1.274090
-200.978394,1.280561
-201.994644,1.288292
-202.983521,1.293268
-203.999786,1.301472
-204.988647,1.308383
-206.004990,1.315360
-206.993790,1.322792
-207.982666,1.328531
-208.998932,1.334900
-209.987793,1.341439
-211.004120,1.348976
-211.992920,1.355803
-212.981796,1.362102
-213.998062,1.369506
-214.986923,1.376796
-216.003265,1.382512
-216.992065,1.389931
-217.980942,1.397072
-218.997208,1.403697
-219.986069,1.410737
-221.002350,1.418721
-221.991211,1.423959
-222.980072,1.430774
-223.996338,1.438280
-224.985199,1.444978
-226.001480,1.452044
-226.990341,1.458954
-227.979218,1.465143
-228.995483,1.472639
-229.984344,1.479959
-231.000626,1.486700
-231.989487,1.493220
-233.005737,1.500315
-233.994614,1.508596
-234.983490,1.513644
-235.999741,1.520986
-236.988617,1.527775
-238.004898,1.535160
-238.993744,1.542819
-239.982620,1.549114
-240.998901,1.555784
-241.987823,1.562438
-243.004013,1.569400
-243.992950,1.576608
-244.981827,1.583698
-245.998077,1.590519
-246.986954,1.597186
