2,USF2000,baseline
Steering Wheel Angle,Yaw Rate
192.018814,1.881179
191.002563,1.867456
190.013794,1.855031
189.024994,1.846409
188.008728,1.838736
187.019974,1.831195
186.003708,1.815855
185.014938,1.816717
184.026154,1.801746
183.009888,1.793393
182.021133,1.784337
181.004852,1.775515
180.016098,1.763850
178.999817,1.753825
178.011047,1.744293
177.022247,1.734461
176.005981,1.724504
175.017227,1.714740
174.000961,1.704233
173.012192,1.693568
172.023392,1.683426
171.007111,1.672555
170.018356,1.662798
169.002075,1.651589
168.013321,1.643825
167.024506,1.634444
166.008270,1.624651
165.019485,1.615408
164.003220,1.605772
163.014450,1.595777
162.025650,1.585709
161.009415,1.574911
160.020615,1.565081
159.004333,1.554612
158.015564,1.545840
157.026764,1.536480
156.010544,1.526508
155.021729,1.516289
154.005478,1.506048
153.016708,1.495984
152.000443,1.486643
151.011673,1.477244
150.022858,1.467058
149.006622,1.456632
148.017822,1.447276
147.001556,1.437450
146.012772,1.427910
145.023972,1.417842
144.007736,1.407272
143.018936,1.398022
142.002655,1.388570
141.013901,1.378609
140.025085,1.368342
139.008850,1.358626
138.020050,1.349422
137.003769,1.339424
136.014999,1.329143
135.026199,1.319332
134.009964,1.309686
133.021164,1.300311
132.004913,1.289974
131.016113,1.280014
130.027283,1.270741
129.011078,1.261085
128.022263,1.250770
127.006020,1.240712
126.017204,1.231583
125.000938,1.221839
124.012169,1.211633
123.023369,1.201522
122.007118,1.192261
121.018311,1.182531
120.002029,1.172580
119.013283,1.162530
118.024460,1.152933
117.008224,1.143218
116.019402,1.133801
115.003166,1.123388
114.014351,1.112981
113.025566,1.104154
112.009323,1.094212
111.020508,1.084185
110.004265,1.074492
109.015457,1.064935
108.026642,1.054861
107.010399,1.045162
106.021584,1.035544
105.005371,1.025301
104.016556,1.015830
103.027771,1.006230
102.011497,0.995916
101.022690,0.986332
100.006439,0.976756
99.017632,0.966804
98.001389,0.956713
97.012573,0.946958
96.023758,0.937307
95.007515,0.927740
94.018700,0.918078
93.002457,0.907735
92.013649,0.898065
91.024887,0.888722
90.008591,0.878990
89.019775,0.868716
88.003563,0.858775
87.014717,0.849400
86.025963,0.839740
85.009674,0.829381
84.020859,0.820011
83.004631,0.810275
82.015800,0.800247
81.027039,0.790295
80.010742,0.780938
79.021935,0.771304
78.005684,0.761025
77.016876,0.751117
76.000633,0.741624
75.011818,0.732023
74.023056,0.722167
73.006760,0.712144
72.017944,0.702022
71.001701,0.692635
70.012894,0.683208
69.024109,0.673519
68.007835,0.663170
67.018997,0.653395
66.002754,0.643761
65.013939,0.634183
64.025177,0.624745
63.008881,0.614590
62.020069,0.604657
61.003826,0.594738
60.015011,0.585325
59.026226,0.575849
58.009926,0.565697
57.021172,0.555760
56.004875,0.545705
55.016060,0.536322
54.027275,0.526866
53.011005,0.516915
52.022217,0.507082
51.005924,0.496845
50.017109,0.487617
49.000866,0.477876
48.012054,0.468034
47.023270,0.458079
46.006969,0.448264
45.018211,0.438861
44.001915,0.429038
43.013073,0.419081
42.024315,0.409243
41.008018,0.399563
40.019230,0.390082
39.002964,0.380040
38.014122,0.370099
37.025364,0.360727
36.009068,0.351011
35.020279,0.341063
34.003983,0.330820
33.015167,0.321609
32.026382,0.312105
31.010088,0.301973
30.021326,0.292077
29.005032,0.282260
28.016247,0.272921
27.027433,0.263197
26.011137,0.253104
25.022348,0.243373
24.006052,0.233470
23.017294,0.224004
22.000998,0.214276
21.012157,0.204377
20.023371,0.194504
19.007101,0.184778
18.018314,0.175232
17.002018,0.165489
16.013233,0.155623
15.024419,0.145800
14.008123,0.135748
13.019336,0.126415
12.003040,0.116613
11.014254,0.107040
10.025441,0.097110
9.009144,0.087045
8.020358,0.077453
7.004062,0.067734
6.015275,0.058203
5.026462,0.048441
4.010166,0.038299
3.021353,0.028723
2.005083,0.018999
1.016323,0.009528
0.000000,0.001416
-0.988760,0.009295
-1.977626,0.019065
-2.993896,0.029139
-3.982709,0.038545
-4.998979,0.048381
-5.987792,0.058230
-6.976604,0.067876
-7.992875,0.077644
-8.981688,0.087071
-9.997957,0.097230
-10.986771,0.107110
-11.975583,0.116598
-12.991853,0.126283
-13.980665,0.136081
-14.996989,0.146184
-15.985749,0.155730
-16.974613,0.164971
-17.990831,0.175368
-18.979698,0.185199
-19.995966,0.194648
-20.984779,0.204229
-21.973593,0.214163
-22.989862,0.224163
-23.978676,0.233742
-24.994999,0.243540
-25.983759,0.253014
-27.000082,0.263001
-27.988842,0.273024
-28.977654,0.282792
-29.993923,0.292344
-30.982737,0.301714
-31.999060,0.312049
-32.987873,0.321884
-33.976685,0.331366
-34.992954,0.341121
-35.981770,0.350673
-36.998093,0.360869
-37.986855,0.370548
-38.975719,0.380039
-39.991932,0.389795
-40.980801,0.399688
-41.997017,0.409772
-42.985882,0.419236
-43.974697,0.428561
-44.990967,0.438929
-45.979778,0.448723
-46.996048,0.458235
-47.984913,0.467587
-48.973728,0.477900
-49.989998,0.487864
-50.978813,0.497283
-51.995083,0.506893
-52.983894,0.516918
-54.000217,0.526939
-54.989029,0.536476
-55.977844,0.546034
-56.994110,0.555769
-57.982929,0.565625
-58.999199,0.575904
-59.988010,0.585529
-60.976871,0.594687
-61.993145,0.604809
