2,VW Jetta TDI Cup,baseline
Steering Wheel Angle,Yaw Rate
484.449799,3.121239
484.358887,3.119227
484.269318,3.117630
484.188965,3.115514
484.133057,3.114213
483.479187,3.108275
482.227936,3.098433
480.966827,3.089459
479.757782,3.081410
478.517792,3.073411
477.308899,3.065663
476.097137,3.057670
474.845795,3.050201
473.609314,3.041633
472.329742,3.032753
471.092346,3.023991
469.824280,3.014863
468.590973,3.006866
467.358948,2.998638
466.094482,2.990072
464.864349,2.981837
463.600769,2.973151
462.374146,2.964870
461.147858,2.956604
459.888000,2.948028
458.664062,2.939715
457.407440,2.931333
456.185059,2.923168
454.963684,2.914914
453.710785,2.906363
452.493195,2.898268
451.239136,2.889532
450.025116,2.881192
448.811279,2.873448
447.558624,2.864311
446.348450,2.856321
445.102783,2.848322
443.888733,2.839616
442.682648,2.831791
441.439087,2.823659
440.228180,2.815153
438.991425,2.807061
437.784454,2.798964
436.544525,2.790674
435.342346,2.782807
434.141235,2.775148
432.902374,2.766120
431.704529,2.758098
430.473083,2.750328
429.271179,2.741780
428.076813,2.733876
426.847626,2.726169
425.649658,2.717751
424.425659,2.709987
423.231445,2.702632
422.037689,2.693654
420.814575,2.685687
419.624817,2.678113
418.400635,2.669637
417.215118,2.661806
416.028076,2.654238
414.805603,2.645477
413.623627,2.637837
412.406555,2.629972
411.221436,2.622089
410.009399,2.613975
408.828796,2.606405
407.645660,2.598138
406.436646,2.590219
405.258301,2.582794
404.046600,2.574363
402.873108,2.566853
401.696777,2.558910
400.489258,2.550946
399.317291,2.543460
398.112579,2.535458
396.940338,2.527745
395.770752,2.520035
394.569946,2.512291
393.400543,2.504446
392.201111,2.496375
391.035400,2.488787
389.869507,2.481222
388.672699,2.473293
387.509735,2.465688
386.314697,2.457670
385.153320,2.450132
383.992615,2.442435
382.800995,2.434633
381.642212,2.427137
380.452148,2.419177
379.295624,2.411768
378.107147,2.403718
376.952759,2.396302
375.798401,2.388692
374.612762,2.380801
373.461426,2.373228
372.278595,2.365574
371.126678,2.357946
369.978577,2.350286
368.798462,2.342884
367.648987,2.334951
366.472992,2.327473
365.326843,2.320241
364.180511,2.312466
363.006287,2.305232
361.862488,2.297575
360.688293,2.289459
359.547119,2.282157
358.405670,2.274695
357.235504,2.267112
356.097168,2.259841
354.926605,2.251976
353.790771,2.244591
352.655029,2.237481
351.486542,2.229375
350.354401,2.222286
349.189178,2.214869
348.054718,2.207215
346.893860,2.199958
345.762726,2.192679
344.632202,2.185081
343.472107,2.177401
342.343475,2.170259
341.184448,2.162565
340.058441,2.155431
338.932526,2.148138
337.776062,2.140627
336.652557,2.133345
335.498138,2.125889
334.375641,2.118666
333.254028,2.111205
332.102448,2.103797
330.982239,2.096547
329.832245,2.088972
328.714447,2.081830
327.596771,2.074558
326.449310,2.067199
325.333160,2.059982
324.187653,2.052479
323.073456,2.045249
321.959930,2.038146
320.816589,2.030743
319.704895,2.023609
318.563354,2.016339
317.452606,2.009086
316.313019,2.001719
315.204803,1.994749
314.095520,1.987109
312.959290,1.980054
311.853210,1.973112
310.716095,1.965615
309.612762,1.958828
308.508118,1.951510
307.373962,1.944158
306.271851,1.937099
305.139984,1.929838
304.038818,1.922673
302.939148,1.915557
301.809265,1.908331
300.710510,1.901124
299.582489,1.893793
298.485229,1.886815
297.389038,1.879802
296.263367,1.872632
295.168152,1.865553
294.043854,1.858176
292.951080,1.851349
291.827576,1.844023
290.735901,1.837036
289.645142,1.830095
288.524384,1.822897
287.434387,1.815810
286.315491,1.808595
285.227478,1.801682
284.139771,1.794704
283.022766,1.787345
281.936829,1.780440
280.821381,1.773329
279.736511,1.766422
278.652649,1.759503
277.539520,1.752338
276.456848,1.745408
275.344910,1.738348
274.263885,1.731397
273.183594,1.724545
272.073578,1.717391
270.994720,1.710410
269.886597,1.703346
268.808502,1.696342
267.731628,1.689446
266.625519,1.682473
265.549500,1.675617
264.444794,1.668533
263.370514,1.661738
262.266876,1.654606
261.193909,1.647801
260.121735,1.641003
259.020264,1.633963
257.949097,1.627159
256.849091,1.620118
255.779419,1.613272
254.710342,1.606503
253.612000,1.599400
252.544434,1.592626
251.447739,1.585723
250.380798,1.578719
249.315582,1.571971
248.220581,1.565084
247.155243,1.558225
246.062485,1.551397
244.998825,1.544884
243.935974,1.538169
242.844742,1.531342
241.782394,1.524372
240.692413,1.517295
239.632599,1.510446
238.572357,1.503586
237.484390,1.496715
236.425842,1.490082
235.338028,1.483141
234.281418,1.476680
233.194885,1.469687
232.138794,1.462912
231.083710,1.456306
229.998901,1.449097
228.944931,1.442358
227.862152,1.435570
226.808517,1.428775
225.756531,1.422274
224.675110,1.415491
223.623306,1.408734
222.543655,1.402079
221.492859,1.395293
220.443436,1.388548
219.365509,1.381604
218.316330,1.374801
217.239487,1.367973
216.191971,1.361388
215.144547,1.354748
214.069534,1.348056
213.023453,1.341467
211.949036,1.334680
210.904587,1.328167
209.859802,1.321324
208.787338,1.314463
207.744415,1.307839
206.672440,1.300901
205.630692,1.294375
204.560074,1.287650
203.518829,1.281126
202.478683,1.274649
201.409454,1.267881
200.370010,1.261288
199.302338,1.254441
198.263382,1.247694
197.225647,1.241110
196.159515,1.234470
195.122269,1.227857
194.057434,1.221287
193.021317,1.214715
191.985596,1.208104
190.922043,1.201482
189.887299,1.194931
188.824585,1.188164
187.791199,1.181693
186.758026,1.175087
185.696793,1.168254
184.664871,1.161785
183.604233,1.154901
182.573425,1.148405
181.514160,1.141724
180.483704,1.135212
179.454193,1.128865
178.395996,1.122105
177.367249,1.115677
176.310349,1.108971
175.282272,1.102431
174.254837,1.095929
173.199356,1.089322
172.172501,1.082643
171.118057,1.075912
170.092484,1.069528
169.067001,1.063027
168.013916,1.056467
166.989334,1.050003
165.936859,1.043333
164.913498,1.036996
163.890137,1.030293
162.839218,1.023663
161.816986,1.017198
160.766495,1.010498
159.745209,1.004164
158.724045,0.997691
157.675034,0.991090
156.654938,0.984788
155.606552,0.977998
154.587219,0.971527
153.539978,0.964939
152.521194,0.958394
151.503067,0.952079
150.456940,0.945453
149.439346,0.939051
148.394150,0.932485
147.377380,0.926051
146.361008,0.919662
145.316940,0.913019
144.301254,0.906674
143.257858,0.900065
142.243118,0.893668
141.228546,0.887233
140.186356,0.880556
139.172607,0.874194
138.131027,0.867617
137.118042,0.861239
136.105347,0.854876
135.064972,0.848244
134.052979,0.841923
133.013245,0.835269
132.001953,0.828956
130.990997,0.822565
129.952347,0.816016
128.942017,0.809600
127.904106,0.803079
126.894470,0.796728
125.857094,0.790200
124.848259,0.783847
123.839561,0.777441
122.803246,0.770932
121.795303,0.764640
120.759514,0.758009
119.752213,0.751762
118.745216,0.745338
117.710434,0.738768
116.704025,0.732520
115.669922,0.725915
114.664017,0.719634
113.658562,0.713353
112.625351,0.706721
111.620346,0.700457
110.587814,0.693907
109.583351,0.687627
108.579285,0.681345
107.547607,0.675270
106.543976,0.668554
105.512947,0.661976
104.509888,0.655614
103.507149,0.649353
102.476883,0.642871
101.474609,0.636498
100.444893,0.630103
99.443230,0.623726
98.413963,0.617260
97.412834,0.610944
96.411888,0.604676
95.383438,0.598132
94.383049,0.591871
93.355064,0.585343
92.355141,0.579159
91.355522,0.572768
90.328239,0.566403
89.329033,0.560116
88.302330,0.553564
87.303505,0.547270
86.305054,0.540980
85.278961,0.534501
84.280861,0.528313
83.255348,0.521861
82.257622,0.515603
81.260239,0.509369
80.235283,0.502828
79.238220,0.496624
78.213768,0.490090
77.217140,0.483757
76.193054,0.477424
75.196854,0.471128
74.200836,0.464925
73.177322,0.458533
72.181702,0.452277
71.158607,0.445849
70.163330,0.439536
69.168259,0.433215
68.145706,0.426819
67.150955,0.420472
66.128799,0.414073
65.134392,0.407901
64.140244,0.401626
63.118542,0.395221
62.124645,0.389085
61.103355,0.382553
60.109764,0.376396
59.116383,0.370032
58.095505,0.363527
57.102436,0.357396
56.081882,0.350938
55.089054,0.344770
54.096405,0.338652
53.076313,0.332151
52.083935,0.325963
51.064091,0.319518
50.071960,0.313173
49.052437,0.306826
48.060570,0.300506
47.068848,0.294218
46.049660,0.287972
45.058205,0.281678
44.039261,0.275448
43.047958,0.269280
42.056850,0.262932
41.038242,0.256510
40.047329,0.250243
39.028969,0.243750
38.038204,0.237588
37.047615,0.231270
36.029537,0.224938
35.039104,0.218877
34.021217,0.212450
33.030945,0.206415
32.040783,0.200157
31.023157,0.193505
30.033188,0.187344
29.015728,0.180681
28.025887,0.174567
27.036087,0.168571
26.018850,0.162091
25.029217,0.156009
24.012115,0.149761
23.022638,0.143451
22.005665,0.137058
21.016222,0.130809
20.026890,0.124603
19.010109,0.118206
18.020878,0.111909
17.004173,0.105463
16.015032,0.099308
15.025905,0.092936
14.009327,0.086501
13.020303,0.080513
12.003798,0.073976
11.014839,0.067978
10.025882,0.061887
9.009464,0.055278
8.020584,0.049157
7.004212,0.042761
6.015370,0.036483
5.026517,0.030337
4.010194,0.023945
3.021365,0.018129
2.005086,0.012090
1.016323,0.005918
0.000000,0.001824
-0.988760,0.006778
-1.977630,0.012894
-2.993907,0.019292
-3.982736,0.025498
-4.999033,0.031777
-5.987886,0.037957
-6.976754,0.044224
-7.993098,0.050532
-8.982005,0.056757
-9.998395,0.063166
-10.987352,0.069235
-11.976336,0.075565
-12.992815,0.081951
-13.981863,0.088248
-14.998468,0.094652
-15.987541,0.100878
-16.976761,0.107185
-17.993385,0.113535
-18.982693,0.119740
-19.999472,0.126162
-20.988832,0.132402
-21.978245,0.138653
-22.995190,0.145064
-23.984720,0.151447
-25.001844,0.158047
-25.991449,0.164131
-27.008709,0.170787
-27.998453,0.176871
-28.988321,0.182851
-30.005751,0.189276
-30.995775,0.195172
-32.013424,0.201546
-33.003609,0.207987
-33.993881,0.214117
-35.011742,0.220917
-36.002190,0.227232
-37.020294,0.233456
-38.010880,0.239736
-39.001667,0.245766
-40.019970,0.251899
-41.010967,0.258286
-42.029491,0.264525
-43.020702,0.270993
-44.011971,0.277448
-45.030891,0.283808
-46.022392,0.290090
-47.041550,0.296458
-48.033352,0.302254
-49.025215,0.308652
-50.044762,0.314882
-51.036888,0.321118
-52.056698,0.327810
-53.049103,0.333902
-54.069244,0.340578
-55.061920,0.346933
-56.054737,0.353178
-57.075268,0.359695
-58.068378,0.365875
-59.089226,0.371948
-60.082623,0.378278
-61.076263,0.384349
-62.097584,0.390646
-63.091469,0.397039
-64.113129,0.403389
-65.107346,0.409795
-66.101791,0.416335
-67.123978,0.422603
-68.118706,0.429006
-69.141243,0.435453
-70.136337,0.441374
-71.131599,0.447688
-72.154778,0.453986
-73.150421,0.460103
-74.173889,0.466890
-75.169998,0.473000
-76.166145,0.479449
-77.190285,0.486095
-78.186928,0.492162
-79.211403,0.498758
-80.208519,0.504879
-81.233383,0.511083
