2,Volkswagen Beetle GRC,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.307594
216.024261,1.310202
215.007996,1.291994
214.019226,1.286017
213.002960,1.274391
212.014175,1.263711
211.025421,1.255724
210.009140,1.250149
209.020386,1.241889
208.004135,1.235021
207.015366,1.233378
206.026566,1.235193
205.010300,1.224460
204.021530,1.212037
203.005295,1.205775
202.016510,1.194922
201.000275,1.188528
200.011475,1.190505
199.022705,1.183757
198.006454,1.169527
197.017670,1.164407
196.001419,1.156750
195.012619,1.153987
194.023849,1.148482
193.007599,1.132956
192.018814,1.131138
191.002563,1.129670
190.013794,1.115860
189.024994,1.110356
188.008728,1.103370
187.019974,1.100674
186.003708,1.089355
185.014938,1.079143
184.026154,1.079660
183.009888,1.071557
182.021133,1.063288
181.004852,1.052500
180.016098,1.052397
178.999817,1.041978
178.011047,1.033687
177.022247,1.032319
176.005981,1.018554
175.017227,1.015087
174.000961,1.008841
173.012192,1.000170
172.023392,0.992425
171.007111,0.992194
170.018356,0.977117
169.002075,0.973156
168.013321,0.968004
167.024506,0.958270
166.008270,0.953063
165.019485,0.944318
164.003220,0.939305
163.014450,0.930305
162.025650,0.925854
161.009415,0.917722
160.020615,0.910020
159.004333,0.905326
158.015564,0.895441
157.026764,0.892052
156.010544,0.881735
155.021729,0.876660
154.005478,0.870087
153.016708,0.862434
152.000443,0.856255
151.011673,0.848717
150.022858,0.840734
149.006622,0.836822
148.017822,0.826832
147.001556,0.822320
146.012772,0.813986
145.023972,0.807081
144.007736,0.802480
143.018936,0.791090
142.002655,0.788284
141.013901,0.777230
140.025085,0.775384
139.008850,0.764308
138.020050,0.759676
137.003769,0.754122
136.014999,0.746665
135.026199,0.736493
134.009964,0.729515
133.021164,0.723694
132.004913,0.716417
131.016113,0.711345
130.027283,0.703704
129.011078,0.696331
128.022263,0.689225
127.006020,0.684015
126.017204,0.678373
125.000938,0.672156
124.012169,0.663496
123.023369,0.657130
122.007118,0.648098
121.018311,0.641415
120.002029,0.634445
119.013283,0.627568
118.024460,0.620892
117.008224,0.614298
116.019402,0.608348
115.003166,0.602494
114.014351,0.596489
113.025566,0.590593
112.009323,0.585590
111.020508,0.581198
110.004265,0.572286
109.015457,0.564874
108.026642,0.558894
107.010399,0.552585
106.021584,0.546468
105.005371,0.540056
104.016556,0.535413
103.027771,0.528393
102.011497,0.521094
101.022690,0.515879
100.006439,0.508974
99.017632,0.503607
98.001389,0.496383
97.012573,0.491059
96.023758,0.484223
95.007515,0.478553
94.018700,0.472667
93.002457,0.466249
92.013649,0.460475
91.024887,0.453521
90.008591,0.447472
89.019775,0.441522
88.003563,0.435312
87.014717,0.428881
86.025963,0.422961
85.009674,0.416806
