2,Volkswagen Beetle GRC Lite,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.333800
216.024261,1.328801
215.007996,1.325089
214.019226,1.319922
213.002960,1.313512
212.014175,1.307366
211.025421,1.301293
210.009140,1.294416
209.020386,1.287628
208.004135,1.280394
207.015366,1.273157
206.026566,1.265775
205.010300,1.258236
204.021530,1.250545
203.005295,1.242927
202.016510,1.235645
201.000275,1.228572
200.011475,1.221904
199.022705,1.215410
198.006454,1.208784
197.017670,1.202417
196.001419,1.196063
195.012619,1.189828
194.023849,1.183845
193.007599,1.177591
192.018814,1.171461
191.002563,1.164882
190.013794,1.158360
189.024994,1.151536
188.008728,1.144538
187.019974,1.137457
186.003708,1.130291
185.014938,1.123343
184.026154,1.116419
183.009888,1.109491
182.021133,1.102906
181.004852,1.096288
180.016098,1.089831
178.999817,1.083027
178.011047,1.076280
177.022247,1.069399
176.005981,1.062500
175.017227,1.055931
174.000961,1.049092
173.012192,1.042418
172.023392,1.035572
171.007111,1.028728
170.018356,1.022123
169.002075,1.015082
168.013321,1.008420
167.024506,1.001826
166.008270,0.994955
165.019485,0.988198
164.003220,0.981279
163.014450,0.974667
162.025650,0.967948
161.009415,0.961140
160.020615,0.954676
159.004333,0.947612
158.015564,0.941070
157.026764,0.934326
156.010544,0.927570
155.021729,0.921027
154.005478,0.914028
153.016708,0.907435
152.000443,0.900760
151.011673,0.893958
150.022858,0.887413
149.006622,0.880521
148.017822,0.873887
147.001556,0.866989
146.012772,0.860478
145.023972,0.853794
144.007736,0.846939
143.018936,0.840411
142.002655,0.833585
141.013901,0.826910
140.025085,0.820084
139.008850,0.813477
138.020050,0.806731
137.003769,0.799910
136.014999,0.793256
135.026199,0.786625
134.009964,0.779808
133.021164,0.773288
132.004913,0.766485
131.016113,0.759676
130.027283,0.753020
129.011078,0.746175
128.022263,0.739484
127.006020,0.732669
126.017204,0.726077
125.000938,0.719080
124.012169,0.712385
123.023369,0.705762
122.007118,0.698788
121.018311,0.692215
120.002029,0.685362
119.013283,0.678546
118.024460,0.671912
117.008224,0.665104
116.019402,0.658283
115.003166,0.651480
114.014351,0.644504
113.025566,0.638123
112.009323,0.631010
111.020508,0.624757
110.004265,0.617492
109.015457,0.610840
108.026642,0.604416
107.010399,0.597179
106.021584,0.590522
105.005371,0.583426
104.016556,0.577035
103.027771,0.570418
102.011497,0.563194
101.022690,0.556607
100.006439,0.549389
99.017632,0.543188
98.001389,0.536190
97.012573,0.530695
96.023758,0.523001
95.007515,0.516235
94.018700,0.511443
93.002457,0.506352
92.013649,0.502527
91.024887,0.492227
90.008591,0.492294
89.019775,0.489607
88.003563,0.476311
87.014717,0.478193
86.025963,0.463169
85.009674,0.456710
84.020859,0.453033
83.004631,0.445444
82.015800,0.439842
81.027039,0.434079
80.010742,0.428137
79.021935,0.422548
