2,Williams-Toyota FW31,baseline
Steering Wheel Angle,Yaw Rate
251.015961,1.895655
249.999741,1.886945
249.010956,1.879757
248.022217,1.872610
247.005966,1.865130
246.017166,1.857672
245.000916,1.850204
244.012177,1.842599
243.023422,1.834758
242.007141,1.826905
241.018341,1.819109
240.002121,1.811335
239.013351,1.803538
238.024597,1.795817
237.008316,1.788090
236.019547,1.780147
235.003296,1.772377
234.014542,1.764710
233.025772,1.757007
232.009491,1.749213
231.020752,1.741491
230.004471,1.733654
229.015686,1.725961
227.999451,1.717806
227.010681,1.709801
226.021896,1.702061
225.005646,1.694077
224.016876,1.686448
223.000626,1.678628
222.011841,1.671269
221.023071,1.663699
220.006836,1.655583
219.018051,1.647954
218.001816,1.640163
217.013016,1.632592
216.024261,1.624954
215.007996,1.617079
214.019226,1.609236
213.002960,1.601734
212.014175,1.593904
211.025421,1.586377
210.009140,1.578612
209.020386,1.570994
208.004135,1.563070
207.015366,1.555465
206.026566,1.547790
205.010300,1.540038
204.021530,1.532377
203.005295,1.524590
202.016510,1.517174
201.000275,1.509040
200.011475,1.501482
199.022705,1.494154
198.006454,1.486210
197.017670,1.478780
196.001419,1.470799
195.012619,1.463162
194.023849,1.455579
193.007599,1.447908
192.018814,1.440520
191.002563,1.432494
190.013794,1.425176
189.024994,1.417249
188.008728,1.409410
187.019974,1.402226
186.003708,1.394352
185.014938,1.386844
184.026154,1.379019
183.009888,1.371396
182.021133,1.363810
181.004852,1.356095
180.016098,1.348696
178.999817,1.340765
178.011047,1.333386
177.022247,1.325820
176.005981,1.317819
175.017227,1.310470
174.000961,1.302703
173.012192,1.295313
172.023392,1.287596
171.007111,1.279822
170.018356,1.272399
169.002075,1.264727
168.013321,1.257193
167.024506,1.249765
166.008270,1.241992
165.019485,1.234520
164.003220,1.226792
163.014450,1.219198
162.025650,1.211616
161.009415,1.203931
160.020615,1.196539
159.004333,1.188792
158.015564,1.181370
157.026764,1.173788
156.010544,1.166035
155.021729,1.158530
154.005478,1.150794
153.016708,1.143446
152.000443,1.135780
151.011673,1.128305
150.022858,1.120817
149.006622,1.113117
148.017822,1.105519
147.001556,1.097831
146.012772,1.090483
145.023972,1.083166
144.007736,1.075236
143.018936,1.067746
142.002655,1.060296
141.013901,1.052601
140.025085,1.045276
139.008850,1.037613
138.020050,1.030209
137.003769,1.022621
136.014999,1.015050
135.026199,1.007572
134.009964,0.999886
133.021164,0.992410
132.004913,0.984844
131.016113,0.977514
130.027283,0.969932
129.011078,0.962478
128.022263,0.954949
127.006020,0.947175
126.017204,0.939826
125.000938,0.932100
124.012169,0.924779
123.023369,0.917286
122.007118,0.909615
121.018311,0.902192
120.002029,0.894566
119.013283,0.887114
118.024460,0.879635
117.008224,0.871999
116.019402,0.864718
115.003166,0.856941
114.014351,0.849626
113.025566,0.842205
112.009323,0.834569
111.020508,0.827124
110.004265,0.819474
109.015457,0.812066
108.026642,0.804546
107.010399,0.797039
106.021584,0.789603
105.005371,0.781877
104.016556,0.774431
103.027771,0.767070
102.011497,0.759524
101.022690,0.752217
100.006439,0.744506
99.017632,0.737034
98.001389,0.729403
97.012573,0.722063
96.023758,0.714626
95.007515,0.707022
94.018700,0.699622
93.002457,0.692000
92.013649,0.684555
91.024887,0.677058
90.008591,0.669621
89.019775,0.662274
88.003563,0.654725
87.014717,0.647228
86.025963,0.639916
85.009674,0.632326
84.020859,0.625012
83.004631,0.617302
82.015800,0.609791
81.027039,0.602371
80.010742,0.594863
79.021935,0.587574
78.005684,0.579783
77.016876,0.572552
76.000633,0.564924
75.011818,0.557671
74.023056,0.550260
73.006760,0.542581
72.017944,0.535335
71.001701,0.527663
70.012894,0.520300
69.024109,0.512887
68.007835,0.505446
67.018997,0.497956
66.002754,0.490365
65.013939,0.482994
64.025177,0.475723
63.008881,0.468107
62.020069,0.460715
61.003826,0.453167
60.015011,0.445741
59.026226,0.438351
58.009926,0.430667
57.021172,0.423421
56.004875,0.415774
55.016060,0.408477
54.027275,0.401087
53.011005,0.393576
52.022217,0.386214
51.005924,0.378596
50.017109,0.371271
